,img_path,xmin,ymin,xmax,ymax,score,img_name,tile_index,tile_xmin,tile_ymin,tile_xmax,tile_ymax,x,y,Xmin,Ymin,Xmax,Ymax,X,Y,lon,lat
0,Nestor Macias RGB_2_0_7600_4000_11600.png,3452.047607421875,2362.020263671875,3738.074951171875,2659.615234375,0.8106681108474731,Nestor Macias RGB,2,0,7600,4000,11600,3595.061279296875,2510.817749023437,3452.047607421875,9962.020263671877,3738.074951171875,10259.615234375,3595.061279296875,10110.817749023438,-79.57632274851413,-2.1817551240842588
1,Nestor Macias RGB_2_0_7600_4000_11600.png,1478.4434814453125,515.9771728515625,2008.1612548828125,1094.51904296875,0.6951321363449097,Nestor Macias RGB,2,0,7600,4000,11600,1743.3023681640625,805.2481079101562,1478.4434814453125,8115.977172851562,2008.1612548828125,8694.51904296875,1743.3023681640625,8405.248107910156,-79.57649434970912,-2.181593482485192
2,Nestor Macias RGB_2_0_7600_4000_11600.png,2038.578125,776.1373291015625,2377.252197265625,1138.199462890625,0.6850172281265259,Nestor Macias RGB,2,0,7600,4000,11600,2207.9151611328125,957.1683959960938,2038.578125,8376.137329101562,2377.252197265625,8738.199462890625,2207.9151611328125,8557.168395996094,-79.57645129436861,-2.181607880395254
3,Nestor Macias RGB_2_0_7600_4000_11600.png,2860.17431640625,1983.71337890625,3104.0234375,2258.44091796875,0.6557324528694153,Nestor Macias RGB,2,0,7600,4000,11600,2982.098876953125,2121.0771484375,2860.17431640625,9583.71337890625,3104.0234375,9858.44091796875,2982.098876953125,9721.0771484375,-79.57637955130855,-2.1817181872788765
4,Nestor Macias RGB_2_0_7600_4000_11600.png,1761.017333984375,1744.49365234375,2308.288330078125,2312.343505859375,0.6350226402282715,Nestor Macias RGB,2,0,7600,4000,11600,2034.65283203125,2028.4185791015625,1761.017333984375,9344.49365234375,2308.288330078125,9912.343505859377,2034.65283203125,9628.418579101562,-79.5764673504667,-2.1817094057674367
5,Nestor Macias RGB_2_0_7600_4000_11600.png,3115.673583984375,2135.456298828125,3460.35302734375,2534.635986328125,0.6252654790878296,Nestor Macias RGB,2,0,7600,4000,11600,3288.0133056640625,2335.046142578125,3115.673583984375,9735.456298828123,3460.35302734375,10134.635986328123,3288.0133056640625,9935.046142578123,-79.57635120243374,-2.181738465718132
6,Nestor Macias RGB_2_0_7600_4000_11600.png,3679.679443359375,1946.3634033203125,3967.726806640625,2221.60107421875,0.6114374399185181,Nestor Macias RGB,2,0,7600,4000,11600,3823.703125,2083.9822387695312,3679.679443359375,9546.363403320312,3967.726806640625,9821.60107421875,3823.703125,9683.982238769531,-79.57630156043521,-2.1817146716906697
7,Nestor Macias RGB_2_0_7600_4000_11600.png,3483.23583984375,2694.40673828125,3810.904296875,3039.3046875,0.6025002002716064,Nestor Macias RGB,2,0,7600,4000,11600,3647.070068359375,2866.855712890625,3483.23583984375,10294.40673828125,3810.904296875,10639.3046875,3647.070068359375,10466.855712890623,-79.57631792889626,-2.1817888667966177
8,Nestor Macias RGB_2_0_7600_4000_11600.png,251.79872131347656,503.4707336425781,603.1510620117188,863.4830322265625,0.594653308391571,Nestor Macias RGB,2,0,7600,4000,11600,427.47489166259766,683.4768829345703,251.79872131347656,8103.470733642578,603.1510620117188,8463.483032226562,427.47489166259766,8283.47688293457,-79.57661628651528,-2.1815819418860567
9,Nestor Macias RGB_2_0_7600_4000_11600.png,1815.262451171875,1167.03173828125,2141.5859375,1504.8590087890625,0.5931499600410461,Nestor Macias RGB,2,0,7600,4000,11600,1978.4241943359373,1335.9453735351562,1815.262451171875,8767.03173828125,2141.5859375,9104.859008789062,1978.4241943359373,8935.945373535156,-79.57647256113498,-2.181643778147456
10,Nestor Macias RGB_2_0_7600_4000_11600.png,2263.70166015625,1184.15283203125,2485.59423828125,1413.84033203125,0.584007978439331,Nestor Macias RGB,2,0,7600,4000,11600,2374.64794921875,1298.99658203125,2263.70166015625,8784.15283203125,2485.59423828125,9013.84033203125,2374.64794921875,8898.99658203125,-79.57643584335848,-2.1816402764072755
11,Nestor Macias RGB_2_0_7600_4000_11600.png,723.8535766601562,174.9047393798828,1126.8505859375,578.7184448242188,0.5739502310752869,Nestor Macias RGB,2,0,7600,4000,11600,925.352081298828,376.8115921020508,723.8535766601562,7774.904739379883,1126.8505859375,8178.718444824219,925.352081298828,7976.811592102051,-79.57657014858653,-2.1815528783598346
12,Nestor Macias RGB_2_0_7600_4000_11600.png,3756.11669921875,2317.32861328125,3996.3017578125,2687.208740234375,0.5698908567428589,Nestor Macias RGB,2,0,7600,4000,11600,3876.209228515625,2502.2686767578125,3756.11669921875,9917.32861328125,3996.3017578125,10287.208740234377,3876.209228515625,10102.268676757812,-79.57629669473155,-2.1817543138648
13,Nestor Macias RGB_2_0_7600_4000_11600.png,1036.9200439453125,1477.9808349609375,1275.36474609375,1760.833984375,0.5672361850738525,Nestor Macias RGB,2,0,7600,4000,11600,1156.1423950195312,1619.4074096679688,1036.9200439453125,9077.980834960938,1275.36474609375,9360.833984375,1156.1423950195312,9219.407409667969,-79.57654876141058,-2.181670642636416
14,Nestor Macias RGB_2_0_7600_4000_11600.png,2256.017333984375,5.830162048339844,2527.1845703125,268.33251953125,0.5665756464004517,Nestor Macias RGB,2,0,7600,4000,11600,2391.600952148437,137.08134078979492,2256.017333984375,7605.83016204834,2527.1845703125,7868.33251953125,2391.600952148437,7737.081340789795,-79.57643427233563,-2.1815301584542777
15,Nestor Macias RGB_2_0_7600_4000_11600.png,3796.362548828125,42.82455825805664,3997.5498046875,339.40869140625,0.5610854029655457,Nestor Macias RGB,2,0,7600,4000,11600,3896.956176757813,191.1166248321533,3796.362548828125,7642.824558258057,3997.5498046875,7939.40869140625,3896.956176757813,7791.116624832153,-79.57629477212646,-2.181535279529084
16,Nestor Macias RGB_2_0_7600_4000_11600.png,2578.0517578125,4.768115043640137,3030.77978515625,231.10459899902344,0.5584326982498169,Nestor Macias RGB,2,0,7600,4000,11600,2804.415771484375,117.9363570213318,2578.0517578125,7604.76811504364,3030.77978515625,7831.104598999023,2804.415771484375,7717.936357021332,-79.57639601707687,-2.181528344030688
17,Nestor Macias RGB_2_0_7600_4000_11600.png,3332.560791015625,3044.347900390625,3662.8232421875,3418.14501953125,0.5563568472862244,Nestor Macias RGB,2,0,7600,4000,11600,3497.6920166015625,3231.246459960937,3332.560791015625,10644.347900390623,3662.8232421875,11018.14501953125,3497.6920166015625,10831.246459960938,-79.57633177165518,-2.1818234011255724
18,Nestor Macias RGB_2_0_7600_4000_11600.png,695.412109375,667.70751953125,1068.071044921875,1050.71875,0.5534546375274658,Nestor Macias RGB,2,0,7600,4000,11600,881.7415771484375,859.213134765625,695.412109375,8267.70751953125,1068.071044921875,8650.71875,881.7415771484375,8459.213134765625,-79.57657418994124,-2.181598596901528
19,Nestor Macias RGB_2_0_7600_4000_11600.png,2437.089599609375,675.6107788085938,2712.115234375,961.7875366210938,0.5510614514350891,Nestor Macias RGB,2,0,7600,4000,11600,2574.6024169921875,818.6991577148438,2437.089599609375,8275.610778808594,2712.115234375,8561.787536621094,2574.6024169921875,8418.699157714844,-79.57641731371868,-2.181594757278755
20,Nestor Macias RGB_2_0_7600_4000_11600.png,3231.586181640625,6.664487838745117,3511.19921875,266.478271484375,0.544681966304779,Nestor Macias RGB,2,0,7600,4000,11600,3371.3927001953125,136.57137966156006,3231.586181640625,7606.664487838745,3511.19921875,7866.478271484375,3371.3927001953125,7736.57137966156,-79.57634347572393,-2.181530110123837
