name,lat,lon,diameter,height,year,plot_id,site,X,Y,updated diameter,group,AGB,carbon
Cacao,-2.18122567,-79.57663014,0.0,0.0,2016.0,P8,Nestor Macias RGB,2761.628614991289,6831.070677750942,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18131243,-79.57641229,0.0,0.0,2016.0,P8,Nestor Macias RGB,5067.14176493557,7729.961819882837,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18143761,-79.57632176,0.0,0.0,2016.0,P8,Nestor Macias RGB,6025.223497499373,9026.909643437912,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18159308,-79.57615373,0.0,0.0,2016.0,P8,Nestor Macias RGB,7803.490077975997,10637.681956329916,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18149765,-79.57617944,0.0,0.0,2016.0,P8,Nestor Macias RGB,7531.400369057465,9648.963863967534,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18148479,-79.57623455,0.0,0.0,2016.0,P8,Nestor Macias RGB,6948.169569583844,9515.725734786118,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18137593,-79.57636949,0.0,0.0,2016.0,P8,Nestor Macias RGB,5520.095461449254,8387.863935202971,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18130329,-79.57640082,0.0,0.0,2016.0,P8,Nestor Macias RGB,5188.529122313572,7635.265357925446,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18124536,-79.57644545,0.0,0.0,2016.0,P8,Nestor Macias RGB,4716.208480336377,7035.0721368188415,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18114538,-79.57638526,6.079704609119999,2.1,2016.0,P8,Nestor Macias RGB,5353.2010737964665,5999.213026741174,6.079704609119999,cacao,4.306795421386322,1.6796502143406655
Variedad bifurcada,-2.18133239,-79.57629994,17.3831184083,0.0,2016.0,P8,Nestor Macias RGB,6256.14521854718,7936.760658020556,17.3831184083,other,83.71510984748271,32.64889284051826
Cacao,-2.18142374,-79.57605575,0.0,0.0,2016.0,P8,Nestor Macias RGB,8840.415386370853,8883.207244389954,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18134149,-79.57613521,0.0,0.0,2016.0,P8,Nestor Macias RGB,7999.487799017503,8031.042693441927,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18121117,-79.57625939,0.0,0.0,2016.0,P8,Nestor Macias RGB,6685.287096956778,6680.84106086881,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18109182,-79.57644482,5.18843901197,2.0,2016.0,P8,Nestor Macias RGB,4722.875789297237,5444.29590396078,5.18843901197,cacao,3.146586189875023,1.227168614051259
Cacao,-2.18132966,-79.57593259999999,0.0,0.0,2016.0,P8,Nestor Macias RGB,10143.715567152767,7908.476047390462,6.843646549530001,cacao,5.444228267440376,2.1232490243017463
Cacao,-2.18118147,-79.57609707,7.027643045439999,2.0,2016.0,P8,Nestor Macias RGB,8403.124574486079,6373.1293628346375,7.027643045439999,cacao,5.73786239730193,2.237766334947753
Cacao,-2.18105584,-79.57613505,7.499136400619999,2.0,2016.0,P8,Nestor Macias RGB,8001.181083854444,5071.519240825266,7.499136400619999,cacao,6.525130701104692,2.54480097343083
Cacao,-2.18103656,-79.57613349,6.989187406139997,2.2,2016.0,P8,Nestor Macias RGB,8017.690611127418,4871.765653684845,6.989187406139997,cacao,5.675861271205516,2.2135858957701515
Guaba,-2.18107326,-79.57620481,14.9605296664,0.0,2016.0,P8,Nestor Macias RGB,7262.908890586626,5252.001994349074,14.9605296664,fruit,98.14315157367776,38.275829113734325
Guaba,-2.18115753,-79.57587031,6.270690094219999,0.0,2016.0,P8,Nestor Macias RGB,10802.932524266907,6125.0950850301815,6.270690094219999,fruit,9.883539267197696,3.8545803142071016
